week,ingredient,weather_condition,has_promotion,special_event,actual_demand,lag_1,lag_2,lag_4,rolling_4w,predicted_demand,stock_alert
2024-02-05,black tea,Rainy,True,False,2529,1002.0,1754.0,810.0,2224.5,2228.8174,Normal
2024-02-05,black tea,Sunny,False,False,7402,2529.0,1002.0,3613.0,3171.75,6684.2734,Normal
2024-02-05,black tea,Sunny,True,False,1744,7402.0,2529.0,1754.0,3169.25,2071.9502,Normal
2024-02-05,black tea,Sunny,True,True,953,1744.0,7402.0,1002.0,3157.0,829.9104,Normal
2024-02-12,black tea,Cloudy,False,False,3820,953.0,1744.0,2529.0,3479.75,3499.9907,Normal
2024-02-12,black tea,Cloudy,True,False,700,3820.0,953.0,7402.0,1804.25,1158.7592,Understock Risk
2024-02-12,black tea,Rainy,False,False,1999,700.0,3820.0,1744.0,1868.0,1766.9636,Normal
2024-02-12,black tea,Rainy,True,False,698,1999.0,700.0,953.0,1804.25,1034.7496,Understock Risk
2024-02-12,black tea,Sunny,False,False,7711,698.0,1999.0,3820.0,2777.0,6638.0015,Normal
2024-02-12,black tea,Sunny,True,False,3468,7711.0,698.0,700.0,3469.0,2874.7122,Normal
2024-02-19,black tea,Cloudy,False,False,5319,3468.0,7711.0,1999.0,4299.0,4640.8916,Normal
2024-02-19,black tea,Cloudy,True,False,689,5319.0,3468.0,698.0,4296.75,1371.9597,Understock Risk
2024-02-19,black tea,Rainy,False,False,2734,689.0,5319.0,7711.0,3052.5,2828.7969,Normal
2024-02-19,black tea,Rainy,False,True,532,2734.0,689.0,3468.0,2318.5,757.47644,Understock Risk
2024-02-19,black tea,Sunny,False,False,4353,532.0,2734.0,5319.0,2077.0,4197.56,Normal
2024-02-19,black tea,Sunny,False,True,567,4353.0,532.0,689.0,2046.5,658.9379,Normal
2024-02-19,black tea,Sunny,True,False,2876,567.0,4353.0,2734.0,2082.0,1824.945,Overstock Risk
2024-02-26,black tea,Cloudy,False,False,4553,2876.0,567.0,532.0,3087.25,4681.466,Normal
2024-02-26,black tea,Cloudy,True,False,781,4553.0,2876.0,4353.0,2194.25,755.43933,Normal
2024-02-26,black tea,Rainy,False,False,1602,781.0,4553.0,567.0,2453.0,1825.7323,Normal
2024-02-26,black tea,Rainy,True,False,799,1602.0,781.0,2876.0,1933.75,1157.9712,Understock Risk
2024-02-26,black tea,Sunny,False,False,5841,799.0,1602.0,4553.0,2255.75,5395.6616,Normal
2024-02-26,black tea,Sunny,True,False,5089,5841.0,799.0,781.0,3332.75,4415.206,Normal
2024-03-04,black tea,Cloudy,False,False,4524,5089.0,5841.0,1602.0,4063.25,4744.221,Normal
2024-03-04,black tea,Cloudy,True,False,1455,4524.0,5089.0,799.0,4227.25,2383.2642,Understock Risk
2024-03-04,black tea,Rainy,False,False,3979,1455.0,4524.0,5841.0,3761.75,3267.3572,Normal
2024-03-04,black tea,Rainy,True,False,2890,3979.0,1455.0,5089.0,3212.0,2606.8342,Normal
2024-03-04,black tea,Sunny,False,False,5190,2890.0,3979.0,4524.0,3378.5,5106.277,Normal
2024-03-04,black tea,Sunny,False,True,1792,5190.0,2890.0,1455.0,3462.75,1322.8604,Overstock Risk
2024-03-04,black tea,Sunny,True,False,775,1792.0,5190.0,3979.0,2661.75,1661.9594,Understock Risk
2024-03-04,black tea,Sunny,True,True,1190,775.0,1792.0,2890.0,2236.75,1999.5021,Understock Risk
2024-03-11,black tea,Cloudy,False,False,2904,1190.0,775.0,5190.0,1665.25,2359.5193,Normal
2024-03-11,black tea,Cloudy,True,False,1824,2904.0,1190.0,1792.0,1673.25,1561.6444,Normal
2024-03-11,black tea,Rainy,False,False,1330,1824.0,2904.0,775.0,1812.0,1097.7852,Normal
2024-03-11,black tea,Rainy,True,False,860,1330.0,1824.0,1190.0,1729.5,1282.3519,Understock Risk
2024-03-11,black tea,Rainy,True,True,895,860.0,1330.0,2904.0,1227.25,890.7052,Normal
2024-03-11,black tea,Sunny,False,False,8127,895.0,860.0,1824.0,2803.0,7171.1055,Normal
2024-03-11,black tea,Sunny,True,False,2170,8127.0,895.0,1330.0,3013.0,1717.7062,Overstock Risk
2024-03-18,black tea,Cloudy,False,False,2568,2170.0,8127.0,860.0,3440.0,2026.7612,Overstock Risk
2024-03-18,black tea,Cloudy,True,False,1263,2568.0,2170.0,895.0,3532.0,1922.9578,Understock Risk
2024-03-18,black tea,Rainy,False,False,2161,1263.0,2568.0,8127.0,2040.5,2359.9465,Normal
2024-03-18,black tea,Rainy,False,True,287,2161.0,1263.0,2170.0,1569.75,645.7364,Understock Risk
2024-03-18,black tea,Sunny,False,False,4833,287.0,2161.0,2568.0,2136.0,4493.139,Normal
2024-03-18,black tea,Sunny,True,False,1924,4833.0,287.0,1263.0,2301.25,1600.9684,Normal
2024-03-25,black tea,Cloudy,False,False,3342,1924.0,4833.0,2161.0,2596.5,2893.1768,Normal
2024-03-25,black tea,Cloudy,True,False,1884,3342.0,1924.0,287.0,2995.75,1880.3861,Normal
2024-03-25,black tea,Rainy,False,False,2192,1884.0,3342.0,4833.0,2335.5,1801.9836,Normal
2024-03-25,black tea,Rainy,True,False,587,2192.0,1884.0,1924.0,2001.25,1041.6335,Understock Risk
2024-03-25,black tea,Sunny,False,False,4087,587.0,2192.0,3342.0,2187.5,4749.98,Normal
2024-03-25,black tea,Sunny,True,False,1832,4087.0,587.0,1884.0,2174.5,1731.0376,Normal
2024-04-01,black tea,Cloudy,False,False,3098,1832.0,4087.0,2192.0,2401.0,2712.9873,Normal
2024-04-01,black tea,Cloudy,True,False,859,3098.0,1832.0,587.0,2469.0,899.51886,Normal
2024-04-01,black tea,Rainy,False,False,1800,859.0,3098.0,4087.0,1897.25,1918.5068,Normal
2024-04-01,black tea,Rainy,True,False,2033,1800.0,859.0,1832.0,1947.5,1548.7654,Overstock Risk
2024-04-01,black tea,Sunny,False,False,4901,2033.0,1800.0,3098.0,2398.25,4604.279,Normal
2024-04-01,black tea,Sunny,True,False,7873,4901.0,2033.0,859.0,4151.75,5918.6226,Overstock Risk
2024-04-08,black tea,Cloudy,False,False,7594,7873.0,4901.0,1800.0,5600.25,5807.7354,Overstock Risk
2024-04-08,black tea,Cloudy,False,True,458,7594.0,7873.0,2033.0,5206.5,1270.7548,Understock Risk
2024-04-08,black tea,Cloudy,True,False,1306,458.0,7594.0,4901.0,4307.75,1864.2794,Understock Risk
2024-04-08,black tea,Rainy,False,False,1474,1306.0,458.0,7873.0,2708.0,2500.6885,Understock Risk
2024-04-08,black tea,Rainy,True,True,756,1474.0,1306.0,7594.0,998.5,650.1094,Normal
2024-04-08,black tea,Sunny,False,False,7020,756.0,1474.0,458.0,2639.0,5953.349,Normal
2024-04-08,black tea,Sunny,False,True,546,7020.0,756.0,1306.0,2449.0,557.7739,Normal
2024-04-08,black tea,Sunny,True,False,994,546.0,7020.0,1474.0,2329.0,1195.2986,Understock Risk
2024-04-15,black tea,Cloudy,False,False,3433,994.0,546.0,756.0,2998.25,3747.6821,Normal
2024-04-15,black tea,Cloudy,True,False,1923,3433.0,994.0,7020.0,1724.0,1323.3192,Overstock Risk
2024-04-15,black tea,Rainy,False,False,1296,1923.0,3433.0,546.0,1911.5,1409.7644,Normal
2024-04-15,black tea,Rainy,True,False,1684,1296.0,1923.0,994.0,2084.0,1659.7952,Normal
2024-04-15,black tea,Sunny,False,False,5125,1684.0,1296.0,3433.0,2507.0,5027.3633,Normal
2024-04-15,black tea,Sunny,False,True,718,5125.0,1684.0,1923.0,2205.75,572.10803,Overstock Risk
2024-04-15,black tea,Sunny,True,False,873,718.0,5125.0,1296.0,2100.0,1356.3912,Understock Risk
2024-04-22,black tea,Cloudy,False,False,3770,873.0,718.0,1684.0,2621.5,3376.0908,Normal
2024-04-22,black tea,Cloudy,True,False,1119,3770.0,873.0,5125.0,1620.0,975.14307,Normal
2024-04-22,black tea,Rainy,False,False,3064,1119.0,3770.0,718.0,2206.5,2142.0217,Overstock Risk
2024-04-22,black tea,Rainy,True,False,836,3064.0,1119.0,873.0,2197.25,1124.3866,Understock Risk
2024-04-22,black tea,Sunny,False,False,6766,836.0,3064.0,3770.0,2946.25,6327.1743,Normal
2024-04-22,black tea,Sunny,False,True,659,6766.0,836.0,1119.0,2831.25,678.6838,Normal
2024-04-22,black tea,Sunny,True,False,2279,659.0,6766.0,3064.0,2635.0,1687.5011,Overstock Risk
2024-04-29,black tea,Cloudy,False,False,3970,2279.0,659.0,836.0,3418.5,4029.6704,Normal
2024-04-29,black tea,Cloudy,True,False,552,3970.0,2279.0,6766.0,1865.0,1057.525,Understock Risk
2024-04-29,black tea,Rainy,False,False,2514,552.0,3970.0,659.0,2328.75,2006.3052,Overstock Risk
2024-04-29,black tea,Sunny,False,False,7956,2514.0,552.0,2279.0,3748.0,7634.2676,Normal
2024-04-29,black tea,Sunny,False,True,784,7956.0,2514.0,3970.0,2951.5,992.6567,Understock Risk
2024-04-29,black tea,Sunny,True,False,2564,784.0,7956.0,552.0,3454.5,3118.2737,Understock Risk
2024-05-06,black tea,Cloudy,False,False,2439,2564.0,784.0,2514.0,3435.75,3064.6543,Understock Risk
2024-05-06,black tea,Cloudy,False,True,769,2439.0,2564.0,7956.0,1639.0,749.2527,Normal
2024-05-06,black tea,Rainy,False,False,1021,769.0,2439.0,784.0,1698.25,1544.0896,Understock Risk
2024-05-06,black tea,Sunny,False,False,7587,1021.0,769.0,2564.0,2954.0,7018.7734,Normal
2024-05-13,black tea,Cloudy,False,False,3664,7587.0,1021.0,2439.0,3260.25,3541.331,Normal
2024-05-13,black tea,Cloudy,True,False,2127,3664.0,7587.0,769.0,3599.75,1731.8595,Normal
2024-05-13,black tea,Rainy,False,False,3130,2127.0,3664.0,1021.0,4127.0,3117.0317,Normal
2024-05-13,black tea,Rainy,False,True,639,3130.0,2127.0,7587.0,2390.0,854.6054,Understock Risk
2024-05-13,black tea,Rainy,True,False,1862,639.0,3130.0,3664.0,1939.5,1402.9048,Overstock Risk
2024-05-13,black tea,Sunny,False,False,8552,1862.0,639.0,2127.0,3545.75,7936.1763,Normal
2024-05-13,black tea,Sunny,True,False,953,8552.0,1862.0,3130.0,3001.5,1019.1566,Normal
2024-05-20,black tea,Cloudy,False,False,1474,953.0,8552.0,639.0,3210.25,1822.7457,Understock Risk
2024-05-20,black tea,Rainy,False,False,2151,1474.0,953.0,1862.0,3282.5,2341.9214,Normal
2024-05-20,black tea,Sunny,False,False,5377,2151.0,1474.0,8552.0,2488.75,4957.658,Normal
2024-05-20,black tea,Sunny,True,False,1186,5377.0,2151.0,953.0,2547.0,1088.0748,Normal
2024-05-27,black tea,Cloudy,False,False,2833,1186.0,5377.0,1474.0,2886.75,2904.0703,Normal
2024-05-27,black tea,Cloudy,True,False,621,2833.0,1186.0,2151.0,2504.25,1627.7269,Understock Risk
2024-05-27,black tea,Rainy,False,False,1180,621.0,2833.0,5377.0,1455.0,1168.6206,Normal
2024-05-27,black tea,Sunny,False,False,3600,1180.0,621.0,1186.0,2058.5,4040.0095,Normal
2024-05-27,black tea,Sunny,True,False,863,3600.0,1180.0,2833.0,1566.0,1291.4291,Understock Risk
2024-06-03,black tea,Cloudy,False,False,2332,863.0,3600.0,621.0,1993.75,2231.6597,Normal
2024-06-03,black tea,Cloudy,False,True,488,2332.0,863.0,1180.0,1820.75,515.6239,Normal
2024-06-03,black tea,Cloudy,True,False,1597,488.0,2332.0,3600.0,1320.0,1203.331,Overstock Risk
2024-06-03,black tea,Cloudy,True,True,800,1597.0,488.0,863.0,1304.25,793.5938,Normal
2024-06-03,black tea,Rainy,False,False,1039,800.0,1597.0,2332.0,981.0,901.742,Normal
2024-06-03,black tea,Rainy,True,False,954,1039.0,800.0,488.0,1097.5,863.92126,Normal
2024-06-03,black tea,Sunny,False,False,5868,954.0,1039.0,1597.0,2165.25,4388.573,Overstock Risk
2024-06-03,black tea,Sunny,False,True,642,5868.0,954.0,800.0,2125.75,479.88727,Overstock Risk
2024-06-03,black tea,Sunny,True,False,2094,642.0,5868.0,1039.0,2389.5,2290.5188,Normal
2024-06-10,black tea,Cloudy,False,False,1193,2094.0,642.0,954.0,2449.25,1824.2616,Understock Risk
2024-06-10,black tea,Cloudy,True,False,2772,1193.0,2094.0,5868.0,1675.25,2035.0206,Overstock Risk
2024-06-10,black tea,Rainy,False,False,762,2772.0,1193.0,642.0,1705.25,1181.1349,Understock Risk
2024-06-10,black tea,Sunny,False,False,7355,762.0,2772.0,2094.0,3020.5,6406.5503,Normal
2024-06-10,black tea,Sunny,True,False,400,7355.0,762.0,1193.0,2822.25,1251.2667,Understock Risk
2024-06-10,black tea,Sunny,True,True,1143,400.0,7355.0,2772.0,2415.0,731.7664,Overstock Risk
2024-06-17,black tea,Cloudy,False,False,1850,1143.0,400.0,762.0,2687.0,2983.4456,Understock Risk
2024-06-17,black tea,Rainy,False,False,2740,1850.0,1143.0,7355.0,1533.25,1685.4844,Overstock Risk
2024-06-17,black tea,Sunny,False,False,6124,2740.0,1850.0,400.0,2964.25,5776.1284,Normal
2024-06-17,black tea,Sunny,False,True,989,6124.0,2740.0,1143.0,2925.75,1008.8072,Normal
2024-06-17,black tea,Sunny,True,False,1135,989.0,6124.0,1850.0,2747.0,1790.1306,Understock Risk
2024-06-24,black tea,Cloudy,False,False,3941,1135.0,989.0,2740.0,3047.25,3686.0188,Normal
2024-06-24,black tea,Cloudy,True,False,934,3941.0,1135.0,6124.0,1749.75,1020.18195,Normal
2024-06-24,black tea,Rainy,False,False,1763,934.0,3941.0,989.0,1943.25,1775.908,Normal
2024-06-24,black tea,Rainy,True,False,601,1763.0,934.0,1135.0,1809.75,985.0961,Understock Risk
2024-06-24,black tea,Sunny,False,False,6532,601.0,1763.0,3941.0,2457.5,5907.201,Normal
2024-06-24,black tea,Sunny,True,False,1482,6532.0,601.0,934.0,2594.5,1448.0254,Normal
2024-07-01,black tea,Cloudy,False,False,2605,1482.0,6532.0,1763.0,2805.0,2434.764,Normal
2024-07-01,black tea,Cloudy,False,True,377,2605.0,1482.0,601.0,2749.0,814.1259,Understock Risk
2024-07-01,black tea,Cloudy,True,False,2023,377.0,2605.0,6532.0,1621.75,1677.458,Normal
2024-07-01,black tea,Rainy,False,False,2815,2023.0,377.0,1482.0,1955.0,1943.4746,Overstock Risk
2024-07-01,black tea,Rainy,False,True,631,2815.0,2023.0,2605.0,1461.5,491.15274,Overstock Risk
2024-07-01,black tea,Sunny,False,False,6384,631.0,2815.0,377.0,2963.25,6847.0176,Normal
2024-07-01,black tea,Sunny,True,False,3736,6384.0,631.0,2023.0,3391.5,4019.8574,Normal
2024-07-08,black tea,Cloudy,False,False,4591,3736.0,6384.0,2815.0,3835.5,4207.4497,Normal
2024-07-08,black tea,Cloudy,True,False,2585,4591.0,3736.0,631.0,4324.0,2197.7495,Normal
2024-07-08,black tea,Rainy,False,False,2819,2585.0,4591.0,6384.0,3432.75,2427.9768,Normal
2024-07-08,black tea,Rainy,True,False,525,2819.0,2585.0,3736.0,2630.0,1016.9066,Understock Risk
2024-07-08,black tea,Sunny,False,False,6500,525.0,2819.0,4591.0,3107.25,6736.8877,Normal
2024-07-08,black tea,Sunny,True,False,1165,6500.0,525.0,2585.0,2752.25,1977.6229,Understock Risk
2024-07-15,black tea,Cloudy,False,False,1685,1165.0,6500.0,2819.0,2468.75,1759.9697,Normal
2024-07-15,black tea,Cloudy,True,False,2208,1685.0,1165.0,525.0,2889.5,1730.4808,Overstock Risk
2024-07-15,black tea,Cloudy,True,True,931,2208.0,1685.0,6500.0,1497.25,822.527,Normal
2024-07-15,black tea,Rainy,False,False,2236,931.0,2208.0,1165.0,1765.0,1775.9047,Overstock Risk
2024-07-15,black tea,Rainy,False,True,246,2236.0,931.0,1685.0,1405.25,443.66974,Understock Risk
2024-07-15,black tea,Rainy,True,False,747,246.0,2236.0,2208.0,1040.0,904.1512,Understock Risk
2024-07-15,black tea,Sunny,False,False,4681,747.0,246.0,931.0,1977.5,4484.4043,Normal
2024-07-15,black tea,Sunny,False,True,939,4681.0,747.0,2236.0,1653.25,419.1948,Overstock Risk
2024-07-15,black tea,Sunny,True,False,1866,939.0,4681.0,246.0,2058.25,1682.3483,Normal
2024-07-22,black tea,Cloudy,False,False,4142,1866.0,939.0,747.0,2907.0,4099.1113,Normal
2024-07-22,black tea,Cloudy,True,False,1286,4142.0,1866.0,4681.0,2058.25,1013.42065,Overstock Risk
2024-07-22,black tea,Rainy,False,False,1351,1286.0,4142.0,939.0,2161.25,1747.4958,Understock Risk
2024-07-22,black tea,Rainy,True,False,1247,1351.0,1286.0,1866.0,2006.5,1418.6843,Normal
2024-07-22,black tea,Sunny,False,False,7651,1247.0,1351.0,4142.0,2883.75,6921.5195,Normal
2024-07-22,black tea,Sunny,False,True,2482,7651.0,1247.0,1286.0,3182.75,1245.3572,Overstock Risk
2024-07-22,black tea,Sunny,True,False,1605,2482.0,7651.0,1351.0,3246.25,2085.4768,Understock Risk
2024-07-29,black tea,Cloudy,False,False,1849,1605.0,2482.0,1247.0,3396.75,2933.2332,Understock Risk
2024-07-29,black tea,Cloudy,True,False,1245,1849.0,1605.0,7651.0,1795.25,1430.7266,Normal
2024-07-29,black tea,Rainy,False,False,4431,1245.0,1849.0,2482.0,2282.5,3024.1428,Overstock Risk
2024-07-29,black tea,Sunny,False,False,1984,4431.0,1245.0,1605.0,2377.25,2682.842,Understock Risk
2024-08-05,black tea,Cloudy,False,False,3300,1984.0,4431.0,1849.0,2740.0,3074.3037,Normal
2024-08-05,black tea,Cloudy,True,False,1526,3300.0,1984.0,1245.0,2810.25,1473.2667,Normal
2024-08-05,black tea,Rainy,False,False,1792,1526.0,3300.0,4431.0,2150.5,1650.922,Normal
2024-08-05,black tea,Rainy,False,True,1275,1792.0,1526.0,1984.0,1973.25,660.0158,Overstock Risk
2024-08-05,black tea,Rainy,True,False,452,1275.0,1792.0,3300.0,1261.25,836.89374,Understock Risk
2024-08-05,black tea,Sunny,False,False,6072,452.0,1275.0,1526.0,2397.75,5652.9824,Normal
2024-08-05,black tea,Sunny,True,False,2179,6072.0,452.0,1792.0,2494.5,1903.7369,Normal
2024-08-05,black tea,Sunny,True,True,1352,2179.0,6072.0,1275.0,2513.75,829.3957,Overstock Risk
2024-08-12,black tea,Cloudy,False,False,3818,1352.0,2179.0,452.0,3355.25,3635.3032,Normal
2024-08-12,black tea,Cloudy,True,False,1876,3818.0,1352.0,6072.0,2306.25,1754.8993,Normal
2024-08-12,black tea,Rainy,False,False,4539,1876.0,3818.0,2179.0,2896.25,3042.8694,Overstock Risk
2024-08-12,black tea,Sunny,False,False,6136,4539.0,1876.0,1352.0,4092.25,6167.2065,Normal
2024-08-12,black tea,Sunny,True,False,4142,6136.0,4539.0,3818.0,4173.25,3891.2368,Normal
2024-08-19,black tea,Cloudy,False,False,5684,4142.0,6136.0,1876.0,5125.25,5434.4966,Normal
2024-08-19,black tea,Cloudy,True,False,1505,5684.0,4142.0,4539.0,4366.75,2032.2635,Understock Risk
2024-08-19,black tea,Rainy,False,False,1494,1505.0,5684.0,6136.0,3206.25,2018.4025,Understock Risk
2024-08-19,black tea,Sunny,False,False,5225,1494.0,1505.0,4142.0,3477.0,6002.9453,Normal
2024-08-19,black tea,Sunny,True,False,2051,5225.0,1494.0,5684.0,2568.75,1961.8059,Normal
2024-08-26,black tea,Cloudy,False,False,3374,2051.0,5225.0,1505.0,3036.0,3064.2827,Normal
2024-08-26,black tea,Cloudy,True,False,655,3374.0,2051.0,1494.0,2826.25,1122.5713,Understock Risk
2024-08-26,black tea,Cloudy,True,True,1075,655.0,3374.0,5225.0,1788.75,887.24384,Normal
2024-08-26,black tea,Rainy,False,False,3813,1075.0,655.0,2051.0,2229.25,3025.0444,Overstock Risk
2024-08-26,black tea,Sunny,False,False,3811,3813.0,1075.0,3374.0,2338.5,3469.1694,Normal
2024-08-26,black tea,Sunny,False,True,2247,3811.0,3813.0,655.0,2736.5,1624.0856,Overstock Risk
2024-08-26,black tea,Sunny,True,False,2344,2247.0,3811.0,1075.0,3053.75,2547.8772,Normal
2024-08-26,black tea,Sunny,True,True,1382,2344.0,2247.0,3813.0,2446.0,1355.8933,Normal
2024-09-02,black tea,Cloudy,False,False,3815,1382.0,2344.0,3811.0,2447.0,2903.7346,Overstock Risk
2024-09-02,black tea,Cloudy,False,True,1417,3815.0,1382.0,2247.0,2239.5,1070.4469,Overstock Risk
2024-09-02,black tea,Cloudy,True,False,1063,1417.0,3815.0,2344.0,1919.25,1055.3341,Normal
2024-09-02,black tea,Rainy,False,False,2108,1063.0,1417.0,1382.0,2100.75,2435.8755,Normal
2024-09-02,black tea,Rainy,True,False,606,2108.0,1063.0,3815.0,1298.5,1037.5271,Understock Risk
2024-09-02,black tea,Sunny,False,False,9634,606.0,2108.0,1417.0,3352.75,8240.195,Normal
2024-09-02,black tea,Sunny,True,False,1632,9634.0,606.0,1063.0,3495.0,2162.3972,Understock Risk
2024-09-09,black tea,Cloudy,False,False,3130,1632.0,9634.0,2108.0,3750.5,3106.536,Normal
2024-09-09,black tea,Rainy,False,False,1580,3130.0,1632.0,606.0,3994.0,1982.7277,Understock Risk
2024-09-09,black tea,Rainy,False,True,875,1580.0,3130.0,9634.0,1804.25,674.12665,Overstock Risk
2024-09-09,black tea,Rainy,True,False,1409,875.0,1580.0,1632.0,1748.5,1593.2911,Normal
2024-09-09,black tea,Sunny,False,False,5768,1409.0,875.0,3130.0,2408.0,5295.362,Normal
2024-09-09,black tea,Sunny,True,False,1991,5768.0,1409.0,1580.0,2510.75,1592.9834,Normal
2024-09-16,black tea,Cloudy,False,False,3762,1991.0,5768.0,875.0,3232.5,3586.4094,Normal
2024-09-16,black tea,Cloudy,False,True,765,3762.0,1991.0,1409.0,3071.5,715.3919,Normal
2024-09-16,black tea,Cloudy,True,False,300,765.0,3762.0,5768.0,1704.5,877.8103,Understock Risk
2024-09-16,black tea,Rainy,False,False,2123,300.0,765.0,1991.0,1737.5,2006.9889,Normal
2024-09-16,black tea,Rainy,True,False,1878,2123.0,300.0,3762.0,1266.5,1154.5585,Overstock Risk
2024-09-16,black tea,Sunny,False,False,8728,1878.0,2123.0,765.0,3257.25,7824.5635,Normal
2024-09-16,black tea,Sunny,True,False,2183,8728.0,1878.0,300.0,3728.0,3048.565,Understock Risk
2024-09-23,black tea,Cloudy,False,False,1904,2183.0,8728.0,2123.0,3673.25,2406.7612,Understock Risk
2024-09-23,black tea,Cloudy,True,False,1025,1904.0,2183.0,1878.0,3460.0,1740.7592,Understock Risk
2024-09-23,black tea,Rainy,False,False,2301,1025.0,1904.0,8728.0,1853.25,2089.3704,Normal
2024-09-23,black tea,Rainy,True,False,922,2301.0,1025.0,2183.0,1538.0,1116.3649,Understock Risk
2024-09-23,black tea,Sunny,False,False,5568,922.0,2301.0,1904.0,2454.0,4936.5654,Normal
2024-09-23,black tea,Sunny,True,False,3406,5568.0,922.0,1025.0,3049.25,3009.5583,Normal
2024-09-30,black tea,Cloudy,False,False,4894,3406.0,5568.0,2301.0,3697.5,4239.4937,Normal
2024-09-30,black tea,Rainy,False,False,2145,4894.0,3406.0,922.0,4003.25,2608.4543,Understock Risk
2024-09-30,black tea,Sunny,False,False,4957,2145.0,4894.0,5568.0,3850.5,5707.4746,Normal
2024-09-30,black tea,Sunny,False,True,850,4957.0,2145.0,3406.0,3211.5,1486.158,Understock Risk
2024-09-30,black tea,Sunny,True,False,785,850.0,4957.0,4894.0,2184.25,1246.6478,Understock Risk
2024-10-07,black tea,Cloudy,False,False,3835,785.0,850.0,2145.0,2606.75,3242.9556,Normal
2024-10-07,black tea,Cloudy,True,False,429,3835.0,785.0,4957.0,1474.75,819.9899,Understock Risk
2024-10-07,black tea,Rainy,False,False,1050,429.0,3835.0,850.0,1524.75,1187.2402,Normal
2024-10-07,black tea,Rainy,True,False,2142,1050.0,429.0,785.0,1864.0,1577.7139,Overstock Risk
2024-10-07,black tea,Sunny,False,False,4077,2142.0,1050.0,3835.0,1924.5,3581.263,Normal
2024-10-07,black tea,Sunny,False,True,631,4077.0,2142.0,429.0,1975.0,639.08374,Normal
2024-10-07,black tea,Sunny,True,False,1876,631.0,4077.0,1050.0,2181.5,1751.3518,Normal
2024-10-14,black tea,Cloudy,False,False,5999,1876.0,631.0,2142.0,3145.75,5181.983,Normal
2024-10-14,black tea,Cloudy,False,True,433,5999.0,1876.0,4077.0,2234.75,599.4763,Understock Risk
2024-10-14,black tea,Cloudy,True,False,971,433.0,5999.0,631.0,2319.75,1000.3794,Normal
